label,variable,description,unit,dataset_id,dataset_description,cycles,type,vartype,used_for,include,notes
pot,LBXSKSI,Serum potassium,mmol/L,"LAB18, L40, BIOPRO",Standard Biochemistry Profile,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,hd,TRUE,None
rbc,LBXRBCSI,Red blood cell count,"1,000,000 cells/uL","LAB25, L25, CBC",Complete Blood Count with 5-part Differential - Whole Blood,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,"kdm, hd",TRUE,None
rdw,LBXRDW,Red blood cell distribution width,%,"LAB25, L25, CBC",Complete Blood Count with 5-part Differential - Whole Blood,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,"phenoage, hd",TRUE,None
mcv,LBXMCVSI,Mean blood cell volume,fL,"LAB25, L25, CBC",Complete Blood Count with 5-part Differential - Whole Blood,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,phenoage,TRUE,None
sod,LBXSNASI,Serum sodium,mmol/L,"LAB18, L40, BIOPRO",Standard Biochemistry Profile,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,hd,TRUE,None
totchol,LBXTC,Total cholesterol,mg/dL,"LAB13, L13, TCHOL",Cholesterol - Total & HDL,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,"kdm, hd",TRUE,None
tp,LBXSTP,Total protein,g/dL,"LAB18, L40, BIOPRO",Standard Biochemistry Profile,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,hd,TRUE,None
ua,LBXSUA,Uric acid,mg/dL,"LAB18, L40, BIOPRO",Standard Biochemistry Profile,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,hd,TRUE,Standardized in 2017_2020
wbc,LBXWBCSI,White blood cell count,"1,000 cells/uL","LAB25, L25, CBC",Complete Blood Count with 5-part Differential - Whole Blood,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,biomarker,"phenoage, hd",TRUE,None
age,RIDAGEYR,Age,Years,DEMO,Demographic Variables & Sample Weights,"1999_2000, 2001_2002, 2003_2004, 2005_2006, 2009_2010, 2015_2016, 2017_2020",numeric,"predictor, biomarker",all,TRUE,
folate,LBXFOLSI,Folate,ng/mL,FOLATE,Folate Forms - Total & Individual - Serum,2009_2010,numeric,biomarker,hd,FALSE,Requires standardization
folate,LBDFOTSI,Folate,ng/mL,FOLFMS,Folate Forms - Total & Individual - Serum,"2015_2016, 2017_2020",numeric,biomarker,hd,FALSE,Requires standardization
vitd,LBDVID,Vitamin D(25),ng/mL,L06VID,Vitamin D,2003-2004,numeric,biomarker,hd,FALSE,"Requires standardization, missing in 2020"
