dataset,year_group,cols
audiometry,2005,AUXU1K2R
audiometry,2005,AUXU2KR
audiometry,2005,AUXU3KR
audiometry,2005,AUXU4KR
audiometry,2005,AUXU6KR
audiometry,2005,AUXU8KR
audiometry,2005,AUXU500L
audiometry,2005,AUXU1K1L
audiometry,2005,AUXU1K2L
audiometry,2005,AUXU2KL
audiometry,2005,AUXU3KL
audiometry,2005,AUXU4KL
audiometry,2005,AUXU6KL
audiometry,2005,AUXU8KL
biochem,2005,SEQN
biochem,2005,LBXSAL
biochem,2005,LBXSAPSI
biochem,2005,LBXSBU
biochem,2005,LBXSGL
biochem,2005,LBXSUA
biochem,2005,LBXSCR
biochem,2005,LBDSALSI
BP,2005,SEQN
BP,2005,BPXSY1
BP,2005,BPXSY2
BP,2005,BPXSY3
BP,2005,BPXSY4
CBC,2005,SEQN
CBC,2005,LBXWBCSI
CBC,2005,LBXLYPCT
CBC,2005,LBXMCVSI
CBC,2005,LBXRDW
CRP,2005,SEQN
CRP,2005,LBXCRP
hba1c,2005,SEQN
hba1c,2005,LBXGH
totcholesterol,2005,SEQN
totcholesterol,2005,LBXTC
cardiovas,2005,SEQN
cardiovas,2005,MCQ160B
cardiovas,2005,MCQ160C
cardiovas,2005,MCQ160D
cardiovas,2005,MCQ160E
cardiovas,2005,MCQ160F
smoking,2005,SEQN
smoking,2005,SMQ020
diabetes,2005,SEQN
diabetes,2005,DIQ010
hypertension,2005,SEQN
hypertension,2005,BPQ020
bmi,2005,SEQN
bmi,2005,BMXBMI
ckd,2005,SEQN
ckd,2005,KIQ022
ckd,2005,KIQ025
hearing,2005,SEQN
hearing,2005,AUQ211
hearing,2005,AUQ231
hearing,2005,AUQ290
demographics,2009,SEQN
demographics,2009,RIDAGEYR
demographics,2009,RIAGENDR
demographics,2009,RIDEXPRG
demographics,2009,RIDRETH1
demographics,2009,DMDEDUC2
demographics,2009,INDFMIN2
audiometry,2009,SEQN
audiometry,2009,AUXU500R
audiometry,2009,AUXU1K1R
audiometry,2009,AUXU1K2R
audiometry,2009,AUXU2KR
audiometry,2009,AUXU3KR
audiometry,2009,AUXU4KR
audiometry,2009,AUXU6KR
audiometry,2009,AUXU8KR
audiometry,2009,AUXU500L
audiometry,2009,AUXU1K1L
audiometry,2009,AUXU1K2L
audiometry,2009,AUXU2KL
audiometry,2009,AUXU3KL
audiometry,2009,AUXU4KL
audiometry,2009,AUXU6KL
audiometry,2009,AUXU8KL
biochem,2009,SEQN
biochem,2009,LBXSAL
biochem,2009,LBXSAPSI
biochem,2009,LBXSBU
biochem,2009,LBXSGL
biochem,2009,LBXSUA
biochem,2009,LBXSCR
biochem,2009,LBDSALSI
biochem,2009,LBDSCRSI
BP,2009,SEQN
BP,2009,BPXSY1
BP,2009,BPXSY2
BP,2009,BPXSY3
BP,2009,BPXSY4
CBC,2009,SEQN
CBC,2009,LBXWBCSI
